"filename", "language", "JavaScript", "XML", "JSON", "Java", "HTML", "Batch", "Java Properties", "comment", "blank", "total"
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Commune.java", "Java", 0, 0, 0, 72, 0, 0, 0, 0, 19, 91
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\CommuneArrond.java", "Java", 0, 0, 0, 73, 0, 0, 0, 0, 10, 83
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Communication.java", "Java", 0, 0, 0, 69, 0, 0, 0, 0, 13, 82
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Coordination.java", "Java", 0, 0, 0, 56, 0, 0, 0, 0, 11, 67
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Departement.java", "Java", 0, 0, 0, 72, 0, 0, 0, 0, 18, 90
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Employee.java", "Java", 0, 0, 0, 69, 0, 0, 0, 0, 24, 93
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Entite.java", "Java", 0, 0, 0, 69, 0, 0, 0, 0, 13, 82
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Federation.java", "Java", 0, 0, 0, 68, 0, 0, 0, 0, 18, 86
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Grade.java", "Java", 0, 0, 0, 56, 0, 0, 0, 0, 17, 73
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Ligue.java", "Java", 0, 0, 0, 56, 0, 0, 0, 0, 16, 72
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Pays.java", "Java", 0, 0, 0, 72, 0, 0, 0, 0, 20, 92
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Quartier.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 9, 69
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Region.java", "Java", 0, 0, 0, 95, 0, 0, 0, 0, 25, 120
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Role.java", "Java", 0, 0, 0, 28, 0, 0, 0, 9, 16, 53
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\User.java", "Java", 0, 0, 0, 41, 0, 0, 0, 0, 11, 52
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Village.java", "Java", 0, 0, 0, 56, 0, 0, 0, 0, 10, 66
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\model\Ville.java", "Java", 0, 0, 0, 66, 0, 0, 0, 0, 8, 74
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\CelluleRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\CommissionRepository.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\CommuneArrondRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\CommuneRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\CommunicationRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\CoordinationRepository.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\DepartementRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\EntiteRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\FederationRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\GradeRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\LigueRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\PaysRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\mmduk\OneDrive\Documents\advanced-workspace\niounfull\src\main\java\org\nioun\essentials\niounfull\repositories\QuartierRepository.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
